NAME,Compañía telefónica,Tecnología,Memoria Interna,A prueba de agua,Cámara frontal,Cámara trasera,Procesador,Resistencia máxima sumergible,Gama de color,Marca
Vivo - Vivo Y95 - Rojo (Desbloqueado)  - Dual SIM,Desbloqueado,4G LTE,64 GB,No,20 megapixels,13 megapixels,439,,Rojo,Vivo
Apple - iPhone 8 64 GB Reacondicionado - Plata (Desbloqueado),Desbloqueado,4G,64 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,5 feet,Plata,Apple
Apple - iPhone XS - 256 GB Reacondicionado - Negro (Desbloqueado),Desbloqueado,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Negro,Apple
Samsung - Galaxy A51 - Blanco,,4G LTE,128 GB,No,32 megapixels,,Exynos 9611,,Blanco,Samsung
Samsung - Galaxy S20 Ultra - Negro,,5G,128 GB,Sí,40 megapixels,,Exynos 990,5 feet,Negro,Samsung
Huawei - P30 - Unicornio (Desbloqueado)  - Dual SIM,Desbloqueado,4G LTE,128 GB,No,32 megapixels,40 megapixels,Kirin 980,,Azul,Huawei
Apple - iPhone XS Max 512 GB Reacondicionado - Dorado (Desbloqueado) [Online],Desbloqueado,4G LTE,512 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Dorado,Apple
Samsung - Galaxy S20 Ultra - Plata,,5G,128 GB,Sí,40 megapixels,,Exynos 990,5 feet,Plata,Samsung
Motorola - Moto One Fusion Plus - Azul (Desbloqueado),Desbloqueado,4G,128 GB,No,,,Snapdragon 730,,Azul,Motorola
One Plus - One Plus A6013 6T - Negro (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,16 megapixels,16 megapixels,Snapdragon 845,,Negro,Oppo
Samsung - Galaxy S20 FE 128GB - Violeta,Movistar,4G,128 GB,No,,,,,Morado,Samsung
Apple - iPhone XS - 64 GB Reacondicionado - Plata (Desbloqueado),Desbloqueado,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Plata,Apple
Xiaomi - Poco F2 Pro - Púrpura,,4G LTE,128 GB,No,20 megapixels,64 megapixels,Snapdragon™ 865,,Multi,Xiaomi
Samsung - Galaxy 01 - Negro,Movistar,"2G, 3G, 4G, GSM, LTE, WCDMA (UMTS)",16 GB,No,5 megapixels,13 megapixels,Octa-core,,Negro,Samsung
Apple - iPhone XS - 64 GB Reacondicionado - Dorado (Desbloqueado),Desbloqueado,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Dorado,Apple
Xiaomi - M9 SE - Azul (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,20 megapixels,48 megapixels,700,,Azul,Xiaomi
Samsung - Galaxy S20 Plus - 128GB - Negro (Desbloqueado),Desbloqueado,4G,128 GB,Sí,10 megapixels,,Exynos 990,5 feet,Negro,Samsung
Honor - Honor 9X - Azul (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,16 megapixels,,,,Azul,Honor
Samsung - Galaxy A71 - Negro,,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Negro,Samsung
Apple - iPhone 8 256 GB Reacondicionado - Gris (Desbloqueado),Desbloqueado,4G,256 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,5 feet,Gris,Apple
Samsung - Galaxy Note 20 Mystic 4G - Verde,Movistar,"4G, GSM",256 GB,Sí,,,Exynos 990,4.9 feet,Verde,Samsung
Samsung - Galaxy A51 - Negro,,4G LTE,128 GB,No,32 megapixels,,Exynos 9611,,Negro,Samsung
Samsung - Galaxy 01 - Rojo,Movistar,"2G, 3G, 4G, GSM, LTE, WCDMA (UMTS)",16 GB,No,5 megapixels,13 megapixels,Octa-core,,Rojo,Samsung
Motorola - Moto One Action - Gris (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,12 megapixels,12 megapixels,,,Gris,Motorola
Honor - Honor 9X Lite - Negro (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,8 megapixels,48 megapixels,,,Negro,Honor
Huawei - Y7P - Negro (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,48 megapixels,,,,Negro,Huawei
Apple - iPhone XS - 256 GB Reacondicionado - Dorado (Desbloqueado),Desbloqueado,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Dorado,Apple
Apple - iPhone XS Reacondicionado - 512 GB - Gris (Desbloqueado) [Online],Desbloqueado,4G LTE,512 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Space Gray,Apple
