NAME,Compañía telefónica,Tecnología,Memoria Interna,A prueba de agua,Cámara frontal,Cámara trasera,Procesador,Resistencia máxima sumergible,Gama de color,Marca
Huawei - Y9S - Negro (Telcel),TELCEL,4G LTE,128 GB,No,16 megapixels,48 megapixels,Huawei Kirin 710F,,Negro,Huawei
Samsung - Galaxy A31 - Rojo (AT&T),AT&T,"2G, 3G, LTE",128 GB,No,20 megapixels,48 megapixels,"Chipset Mediatek MT6768, Octa-core (2x 2GHz + 6x 1.7GHz)",,Rojo,Samsung
Samsung - Galaxy A20s - Rojo (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Rojo,Samsung
Samsung - Galaxy A30s Negro (AT&T),AT&T,4G LTE,32 GB,No,16 megapixels,5 megapixels,Exynos 7904,,Negro,Samsung
Honor - Honor 9X Lite - Negro (AT&T),AT&T,4G LTE,128 GB,No,8 megapixels,48 megapixels,,,Negro,Honor
Motorola - Moto One Zoom - Bronce (AT&T),AT&T,4G LTE,128 GB,No,25 megapixels,48 megapixels,675,,Bronce,Motorola
Motorola - Moto One Vision - Azul (AT&T),AT&T,4G LTE,128 GB,No,25 megapixels,48 megapixels,Exynos 9609,,Azul,Motorola
Motorola - Moto G8 Plus - Rojo (Telcel),TELCEL,4G LTE,64 GB,No,25 megapixels,48 megapixels,,,Rojo,Motorola
Samsung - Galaxy A7 - Azul (Telcel),TELCEL,4G LTE,64 GB,No,24 megapixels,,Exynos 7885,,Azul,Samsung
Samsung - Galaxy Note 8 - Violeta- Telcel,TELCEL,LTE,64 GB,Sí,8 megapixels,12 megapixels,Octa core 2.3,0 feet,Morado,Samsung
Samsung - Galaxy A7 - Azul (AT&T),AT&T,4G LTE,64 GB,No,24 megapixels,24 megapixels,Exynos 7885,,Azul,Samsung
Motorola - Moto G8 Play - Frambuesa (AT&T),AT&T,4G LTE,32 GB,No,13 megapixels,8 megapixels,Helio P70,,Rojo,Motorola
Apple - iPhone XS Max 64 GB - Gris Espacial (Telcel),TELCEL,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Gris,Apple
Samsung - Celular Note 20 Mystic 4G - Bronce - Telcel,TELCEL,"4G, GSM",256 GB,Sí,,,Exynos 990,4.9 feet,Bronce,Samsung
Samsung - Galaxy A71 - Azul (Telcel),TELCEL,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Azul,Samsung
Apple - iPhone XS Max - 256 GB - Gris Espacial (AT&T),AT&T,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Gris,Apple
Motorola - Moto One Zoom - Gris (AT&T),AT&T,4G LTE,128 GB,No,25 megapixels,48 megapixels,675,,Gris,Motorola
Apple - iPhone XR 64 GB - Blanco (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Bionic con motor neural,,Blanco,Apple
Apple - iPhone XR 64 GB - Negro (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Bionic con motor neural,,Negro,Apple
ZTE - V8 Mini - Negro - AT&T,AT&T,4G,16 GB,No,,,,,Negro,ZTE
Samsung - Galaxy A10s - Azul (Telcel),TELCEL,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Azul,Samsung
Samsung - Galaxy A51 - Blanco (AT&T),AT&T,4G LTE,128 GB,No,32 megapixels,,Octa - Core,,Blanco,Samsung
ZTE - LTE 2050 Blade V Smart - Verde (Telcel),TELCEL,"3G, 4G",128 GB,No,19 megapixels,13 megapixels,MT6771,,Verde,ZTE
Samsung - Galaxy S10 Plus 128 GB  [Último modelo] - Azul (Telcel),TELCEL,"2G, 3G, 4G, CDMA, GSM, LTE, TD-SCDMA, WCDMA (UMTS)",128 GB,Sí,10 megapixels,16 megapixels,9820,5 feet,Azul,Samsung
Samsung - Celular Note 20 Ultra 4G - Negro - Telcel,TELCEL,"4G, GSM",256 GB,Sí,,,Exynos 990,4.92 feet,Negro,Samsung
Samsung - Galaxy J8 - Lavanda - AT&T,AT&T,4G LTE,32 GB,No,16 megapixels,16 megapixels,450,,Morado,Samsung
Xiaomi - Redmi Note 8 - 64 GB Negro (Telcel),TELCEL,4G LTE,64 GB,No,13 megapixels,48 megapixels,Qualcomm Snapdragon 665 Octa-core 2.0 GHz,,Negro,Xiaomi
Samsung - Galaxy 01 - Negro (AT&T),AT&T,"2G, 3G, 4G, GSM, LTE, WCDMA (UMTS)",16 GB,No,5 megapixels,13 megapixels,Octa-core,,Negro,Samsung
Samsung - Note 10 Lite 128 GB - Rojo (Telcel),TELCEL,"2G, 3G, 4G, 4G LTE, GSM, LTE, WCDMA (UMTS)",128 GB,No,32 megapixels,32 megapixels,Octa-Core,,Rojo,Samsung
Motorola - Moto G9 Play - Azul - Telcel,TELCEL,4G,64 GB,No,,,Qualcomm Snapdragon 662,,Azul,Motorola
Huawei - Y8S - Verde (ATT),AT&T,4G,64 GB,No,,,"HiSilicon, Kirin 710, Octa core: 4 x 2.2GHz + 4 x 1.7GHz",,Verde,Huawei
Samsung - Galaxy Z Flip - 256 GB - Espejo Negro (Telcel),TELCEL,"2G, 3G, 4G, 4G LTE, GSM, WCDMA (UMTS)",256 GB,No,10 megapixels,12 megapixels,Octa-Core,,Negro,Samsung
Samsung - Galaxy A20s - Negro (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Negro,Samsung
Xiaomi - Xiaomi Redmi 9 - 32 GB - Verde (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,Helio G80,,Verde,Xiaomi
Huawei - Y8S - Negro (ATT),AT&T,4G,64 GB,No,,,"HiSilicon, Kirin 710, Octa core: 4 x 2.2GHz + 4 x 1.7GHz",,Negro,Huawei
Samsung - Galaxy A10s - Negro (AT&T),AT&T,4G LTE,32 GB,No,8 megapixels,13 megapixels,,,Negro,Samsung
Samsung - Galaxy A30 - Negro (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,16 megapixels,16 megapixels,Exynos 7904,,Negro,Samsung
Samsung - Galaxy 01 - Rojo (Telcel),TELCEL,"2G, 3G, 4G, GSM, LTE, WCDMA (UMTS)",16 GB,No,5 megapixels,13 megapixels,Octa-core,,Rojo,Samsung
Samsung - Galaxy A31 - Negro (AT&T),AT&T,"2G, 3G, LTE",128 GB,No,20 megapixels,48 megapixels,"Chipset Mediatek MT6768, Octa-core (2x 2GHz + 6x 1.7GHz)",,Negro,Samsung
Samsung - Galaxy A80 - Plata (AT&T),AT&T,4G LTE,128 GB,No,48 megapixels,40 megapixels,SM7150,,Plata,Samsung
Samsung - Galaxy Note 10 Plus [Último modelo] - Plata (Telcel),TELCEL,4G,256 GB,Sí,10 megapixels,16 megapixels,,5 feet,Plata,Samsung
Samsung - Note 10  [Último modelo] - Plata (Telcel),TELCEL,4G,256 GB,Sí,10 megapixels,16 megapixels,,5 feet,Plata,Samsung
Samsung - Galaxy Note 10  [Último modelo] - 256 GB - Negro (Telcel),TELCEL,4G,256 GB,Sí,10 megapixels,16 megapixels,,5 feet,Negro,Samsung
Samsung - Galaxy Note 10 Plus [Último modelo] - Negro (Telcel),TELCEL,4G,256 GB,Sí,10 megapixels,16 megapixels,,5 feet,Negro,Samsung
Apple - iPhone 11 Pro Max - 512 GB - Dorado (Telcel),TELCEL,4G LTE,512 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Dorado,Apple
Apple - iPhone 11 Pro - 64 GB - Plata (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Plata,Apple
Apple - iPhone 11 Pro Max - 512 GB - Plata (Telcel),TELCEL,4G LTE,512 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Plata,Apple
Apple - iPhone 11 Pro Max - 64 GB - Plata (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Plata,Apple
Apple - iPhone 11 Pro Max - 64 GB - Gris Espacial (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Space Gray,Apple
Apple - iPhone 11 Pro Max - 64 GB - Verde Medianoche (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Verde,Apple
Apple - iPhone 11 Pro - 512 GB - Plata (Telcel),TELCEL,4G LTE,512 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Plata,Apple
Apple - iPhone 11 Pro - 256 GB - Plata (Telcel),TELCEL,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Plata,Apple
Apple - iPhone 11 Pro Max - 64 GB - Gris Espacial (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Space Gray,Apple
Apple - iPhone 11 Pro - 512 GB - Gris Espacial (Telcel),TELCEL,4G LTE,512 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Gris,Apple
Apple - iPhone 11 Pro Max - 256 GB - Verde Medianoche (AT&T),AT&T,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Verde,Apple
Apple - iPhone 11 Pro - 512 GB - Verde Medianoche (Telcel),TELCEL,4G LTE,512 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Verde,Apple
Apple - iPhone 11 Pro Max - 256 GB - Plata (Telcel),TELCEL,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Plata,Apple
Apple - iPhone 11 Pro Max - 64 GB - Plata (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Plata,Apple
Apple - iPhone 11 Pro Max - 256 GB - Plata (AT&T),AT&T,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Plata,Apple
Apple - iPhone 11 Pro - 256 GB - Dorado  (Telcel),TELCEL,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Dorado,Apple
Apple - iPhone 11 - 64 GB - Amarillo (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,2 Metros,Amarillo,Apple
Apple - iPhone 11 Pro - 256 GB - Oro (AT&T),AT&T,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Oro Rosa,Apple
Apple - iPhone 11 Pro - 256 GB - Plata (AT&T),AT&T,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Plata,Apple
Apple - iPhone 11 Pro - 64 GB - Gris Espacial (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Space Gray,Apple
Apple - iPhone 11 Pro - 256 GB - Verde Medianoche (AT&T),AT&T,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Verde,Apple
Apple - iPhone 11 Pro - 256 GB - Gris Espacial (AT&T),AT&T,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Space Gray,Apple
Apple - iPhone 11 Pro - 64 GB - Oro (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Oro Rosa,Apple
Apple - iPhone 11 Pro - 64 GB - Verde Medianoche (AT&T),AT&T,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Verde,Apple
Apple - iPhone 11 Pro Max - 64 GB - Verde Medianoche (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Verde,Apple
Apple - iPhone 11 Pro Max - 256 GB - Dorado (Telcel),TELCEL,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Dorado,Apple
Apple - iPhone 11 Pro - 64 GB - Verde Medianoche (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Verde,Apple
Samsung - Galaxy S20 Ultra - Negro (Telcel),TELCEL,5G,128 GB,Sí,40 megapixels,,Exynos 990,5 feet,Negro,Samsung
Samsung - Galaxy S20 Plus - Azul (Telcel),TELCEL,4G,128 GB,Sí,10 megapixels,,Exynos 990,5 feet,Azul,Samsung
Samsung - Galaxy S20 - Gris (Telcel),TELCEL,5G,128 GB,Sí,10 megapixels,16 megapixels,Exynos 990,5 feet,Gris,Samsung
Samsung - Galaxy S20 Plus - Azul (AT&T),AT&T,4G,128 GB,Sí,10 megapixels,,Exynos 990,5 feet,Azul,Samsung
Samsung - Galaxy S20 Ultra - Gris (Telcel),TELCEL,5G,128 GB,Sí,40 megapixels,,Exynos 990,5 feet,Gris,Samsung
Samsung - Galaxy S20 Plus - 128GB - Gris (AT&T),AT&T,4G,128 GB,Sí,10 megapixels,,Exynos 990,5 feet,Gris,Samsung
Samsung - Galaxy S20 Plus - Gris (Telcel),TELCEL,4G,128 GB,Sí,10 megapixels,,Exynos 990,5 feet,Gris,Samsung
Apple - iPhone SE 64 GB - Negro (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Negro,Apple
Apple - iPhone SE 64 GB - Negro (Telcel),TELCEL,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Negro,Apple
Apple - iPhone SE 64 GB - Blanco (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Blanco,Apple
Apple - iPhone SE 128 GB - Rojo (AT&T),AT&T,4G LTE,128 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Rojo,Apple
Apple - iPhone SE 128 GB - Negro (AT&T),AT&T,4G LTE,128 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Negro,Apple
Apple - iPhone SE 64   GB - Rojo (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Rojo,Apple
Apple - iPhone SE 128 GB - Blanco (AT&T),AT&T,4G LTE,128 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Blanco,Apple
Apple - iPhone SE 128 GB - Blanco (Telcel),TELCEL,4G LTE,128 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Blanco,Apple
Apple - iPhone SE 64 GB - Rojo (Telcel),TELCEL,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Rojo,Apple
Apple - iPhone SE 64 GB - Blanco (Telcel),TELCEL,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Blanco,Apple
Apple - iPhone SE 128 GB - Rojo (Telcel),TELCEL,4G LTE,128 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Rojo,Apple
